id,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D3_1,D3_2,D3_3,D3_4,D4_1,D4_2,D4_3,D4_4,D5_1,D5_2,D5_3,D5_4,CLASS
22,43,12,217,11,91,4,104,16,3,29,177,-5,98,21,253,14,95,29,298,27,D4
23,4,2,88,-5,93,5,70,27,35,2,282,11,66,7,65,18,57,29,16,11,D2
24,56,15,138,13,65,2,175,0,43,24,213,29,46,18,139,8,86,28,3,-5,D2
25,35,20,239,27,29,24,135,16,53,5,85,22,18,27,89,3,67,11,53,25,D3
26,22,28,154,10,100,27,253,27,70,16,200,3,43,25,25,1,52,13,148,18,D3
27,55,8,199,29,56,20,209,26,90,0,226,18,35,15,225,2,1,25,299,2,D3
28,78,29,62,22,48,23,197,28,45,16,199,4,92,10,156,21,69,6,142,22,D4
29,15,14,189,18,75,3,27,5,44,10,18,25,23,1,101,5,45,4,162,2,D2
30,35,25,186,26,76,5,89,14,65,9,166,4,79,16,74,24,90,4,277,17,D5
31,17,14,2,29,45,10,207,27,30,16,104,27,2,0,131,5,75,1,289,16,D5
32,55,25,214,19,78,16,55,5,18,22,151,17,32,5,295,10,0,12,2,10,D2
33,35,25,285,29,6,10,131,20,15,10,49,27,52,24,134,28,41,8,70,20,D5
34,69,26,242,2,21,13,151,17,42,1,247,21,6,13,238,21,98,9,151,-5,D5
35,42,3,54,1,2,23,78,10,47,17,297,5,77,16,54,17,42,10,277,22,D3
36,64,2,137,24,88,9,67,23,50,20,49,12,8,7,184,25,92,20,118,13,D5
37,93,24,129,0,78,1,70,-5,83,24,14,19,64,24,3,10,3,14,172,5,D2
38,86,7,242,26,44,16,32,23,70,28,126,6,1,3,5,0,29,4,159,12,D1
39,55,5,122,26,32,13,88,18,13,15,300,2,69,8,261,27,10,15,190,16,D4
40,37,29,1,22,56,7,187,18,19,27,274,7,31,5,228,7,21,8,47,3,D4
41,41,11,270,29,19,25,188,18,18,2,113,25,39,15,271,8,80,19,1,14,D4
42,11,2,90,19,43,21,66,17,79,2,252,26,48,24,222,16,71,21,75,8,D3
43,5,13,133,0,73,16,112,15,33,7,10,27,89,17,153,17,56,18,139,2,D4
44,43,23,295,4,82,2,206,15,33,21,90,17,71,12,267,29,85,10,248,14,D2
45,86,15,23,24,71,19,252,9,75,26,64,24,95,15,220,16,39,10,161,15,D4
46,78,11,53,9,62,19,29,28,40,7,62,7,88,0,132,27,31,10,80,26,D1
47,63,20,134,14,16,2,125,5,12,26,88,15,81,8,111,2,29,0,264,25,D4
48,44,22,166,7,77,14,217,17,17,13,41,19,47,2,2,1,34,16,239,26,D2
49,16,11,116,17,93,10,213,0,90,4,187,1,40,3,70,9,98,5,172,20,D3
50,56,15,98,10,23,2,92,4,42,24,287,20,91,29,260,5,29,10,285,28,D4
51,74,22,233,10,39,28,127,6,31,29,180,18,50,22,198,7,5,28,194,19,D1
52,9,3,170,24,63,4,170,27,3,24,284,16,1,23,197,20,9,7,295,20,D2
53,86,22,222,17,35,24,207,24,56,10,177,26,93,10,273,16,99,9,212,21,D4
54,22,2,189,18,73,20,234,25,4,17,6,10,77,19,172,12,20,22,140,24,D4
55,48,21,12,27,55,14,71,16,91,23,208,20,51,28,292,22,26,2,230,13,D3
56,10,13,208,24,42,23,115,28,90,2,177,20,43,23,127,28,61,8,173,14,D3
57,99,9,87,17,36,21,165,15,47,28,132,20,10,1,140,26,71,22,129,14,D1
58,62,8,9,20,79,27,75,11,9,21,173,4,35,11,108,11,38,1,20,17,D2
59,9,13,81,13,100,0,258,22,83,6,204,22,80,1,146,28,48,7,286,7,D2
60,74,2,19,12,14,7,251,13,52,25,104,0,66,2,78,23,28,6,33,11,D1
61,64,29,215,21,85,28,15,20,52,27,189,20,4,9,236,22,17,3,300,15,D5
62,14,11,73,14,58,26,43,11,39,25,274,17,40,2,138,7,67,15,205,19,D4
63,10,19,90,19,54,2,168,25,57,28,265,12,49,18,113,0,86,12,291,9,D5
64,32,24,210,-5,41,3,24,13,93,0,131,1,29,15,159,10,5,15,266,3,D3
65,53,2,177,27,93,14,52,9,18,22,92,23,69,20,21,13,56,0,30,28,D2
66,51,3,283,24,35,14,58,8,6,23,293,1,86,19,265,5,53,3,193,27,D4
67,79,24,242,23,60,6,13,7,54,11,262,28,78,22,9,6,14,23,106,23,D2
68,51,14,186,13,95,21,90,18,64,24,201,20,84,2,48,18,1,8,120,13,D4
69,34,29,79,-5,61,16,277,13,4,0,270,28,74,0,98,3,43,23,172,5,D4
70,73,9,107,21,47,1,176,-5,0,24,155,19,72,3,75,26,88,9,105,25,D2
71,40,28,2,29,88,18,219,10,9,15,219,26,88,27,220,12,10,11,286,20,D2
72,95,7,22,17,16,7,160,22,31,28,40,19,17,24,9,6,44,16,191,11,D1
73,10,0,124,29,27,4,135,8,23,7,69,19,44,28,199,6,98,25,99,22,D5
74,23,29,41,26,94,6,249,7,17,17,21,9,19,26,136,27,60,20,60,14,D2
75,97,1,150,12,93,27,124,13,84,20,13,10,13,5,113,24,84,19,284,3,D1
76,93,23,266,19,49,13,245,28,68,20,116,5,93,13,48,9,48,23,52,11,D4
77,73,13,15,28,47,13,195,16,52,22,44,2,74,18,249,4,18,6,270,17,D4
78,10,20,199,1,38,3,282,15,25,4,119,3,58,25,254,6,71,18,289,16,D5
79,84,9,286,27,52,20,269,7,58,10,12,22,17,25,236,24,57,13,251,21,D1
80,80,2,148,24,6,23,149,7,38,18,85,1,49,20,24,16,62,7,269,11,D5
81,65,3,126,26,12,19,296,17,11,15,155,20,86,16,184,22,24,21,260,14,D4
82,96,5,270,3,85,20,206,17,14,26,206,22,56,28,247,18,82,16,294,13,D1
83,27,19,267,6,60,4,86,24,61,20,233,20,22,12,0,7,50,25,180,26,D2
84,95,6,297,14,62,6,34,18,18,29,173,4,79,23,254,2,99,11,64,24,D1
85,14,14,114,17,1,22,13,14,29,15,67,0,62,1,282,18,33,18,262,7,D4
86,60,12,213,11,38,22,235,6,51,14,295,28,53,11,191,18,23,16,76,12,D1
87,77,28,38,3,61,20,247,7,13,22,78,17,57,14,143,-5,27,12,279,28,D4
88,16,5,16,13,94,23,184,12,72,10,150,9,71,9,249,6,85,17,263,4,D5
89,94,18,4,17,25,2,206,5,82,2,167,8,7,4,202,28,24,13,151,3,D3
90,99,22,87,29,8,1,117,10,41,24,10,1,58,10,216,-5,78,12,234,8,D4
91,66,24,193,7,27,22,15,6,22,8,298,11,52,6,29,5,51,29,121,15,D4
92,63,14,80,28,83,17,284,26,6,12,191,16,75,19,2,4,39,9,195,10,D4
93,6,18,127,21,86,10,247,22,48,29,287,20,18,1,74,8,99,1,47,25,D5
94,3,5,60,8,53,15,102,21,46,21,291,20,57,24,275,20,96,29,156,19,D5
95,77,6,125,16,89,16,208,23,41,2,140,5,92,16,100,5,11,26,12,14,D4
96,56,12,127,28,92,3,271,21,91,25,291,10,3,5,291,20,7,25,113,20,D2
97,19,21,251,23,52,7,48,22,86,7,247,24,59,21,241,22,86,8,252,24,D3
98,14,6,283,24,23,10,72,18,53,15,176,6,56,8,74,23,84,27,236,28,D3
99,81,10,115,6,60,0,212,15,69,28,63,25,41,15,260,3,78,20,280,4,D5
100,99,16,213,26,99,0,41,16,43,27,101,12,27,1,94,19,76,17,32,14,D2
101,87,25,265,5,30,13,78,1,10,5,173,19,16,23,133,23,6,21,172,5,D1
102,85,19,169,7,27,24,175,28,94,20,18,10,7,12,137,6,59,26,35,17,D1
103,82,11,186,20,32,0,259,5,64,26,276,26,60,29,56,7,47,27,156,10,D2
104,17,0,126,15,69,21,84,2,1,25,21,2,7,28,91,13,74,0,24,5,D5
105,100,19,230,15,20,27,168,0,61,12,127,3,56,7,136,11,8,1,107,24,D1
106,22,8,142,4,65,1,289,1,93,5,100,25,34,26,26,18,14,23,228,14,D2
107,57,11,224,8,100,8,109,21,52,25,136,5,89,28,65,18,54,13,220,18,D2
108,59,25,49,27,54,17,83,17,58,17,175,13,69,22,249,13,91,17,129,23,D4
109,28,20,196,22,77,2,284,12,65,18,181,24,35,11,13,25,62,16,271,14,D2
110,44,19,277,26,88,7,179,23,46,16,16,27,56,0,287,27,90,6,252,17,D5
111,55,25,250,20,98,1,92,10,9,25,112,27,48,21,281,27,5,18,43,21,D2
112,100,21,268,26,90,7,137,25,17,6,260,11,30,4,111,28,64,17,211,6,D5
113,56,8,87,24,92,27,112,6,39,11,119,17,32,9,185,2,90,10,201,24,D2
114,85,9,249,5,13,25,168,15,6,0,193,21,59,29,128,28,61,20,209,23,D1
115,61,5,203,0,95,16,225,6,21,20,26,4,99,29,102,0,13,21,49,11,D2
116,90,13,295,14,46,14,73,25,66,8,96,-5,47,16,24,1,24,25,198,14,D3
117,77,6,3,3,75,3,161,18,72,21,32,0,28,27,10,16,83,9,63,5,D5
118,64,20,228,8,22,6,285,28,20,6,160,25,93,27,192,3,47,25,192,22,D4
119,74,1,199,19,56,24,147,12,19,1,175,23,2,27,39,23,5,2,233,15,D1
120,62,4,105,7,75,21,103,17,99,27,2,15,88,5,248,23,1,0,208,11,D4
121,68,12,272,-5,88,15,272,2,58,16,157,28,50,23,56,22,0,17,218,1,D2
122,72,23,105,25,65,24,227,0,5,20,0,22,21,14,164,-5,38,4,155,17,D2
123,19,25,33,6,18,8,198,14,7,10,193,15,81,12,163,28,75,5,285,12,D5
124,57,16,68,9,28,16,16,29,49,13,299,11,3,2,0,23,29,13,4,15,D3
125,51,6,173,16,13,21,208,19,46,6,178,18,73,4,264,21,8,19,260,24,D4
126,37,3,252,26,23,12,202,0,92,10,138,29,71,22,141,0,23,21,160,5,D4
127,40,16,54,10,36,6,127,16,93,10,190,28,53,21,164,24,72,15,295,4,D5
128,63,9,262,12,89,21,22,2,62,7,205,17,52,23,62,4,2,27,33,24,D2
129,19,2,19,1,33,0,131,3,30,12,235,3,25,14,243,1,93,18,288,12,D5
130,46,20,48,28,13,6,43,-5,39,14,8,5,23,16,200,1,26,23,108,14,D2
131,20,20,257,23,41,1,77,6,86,13,198,21,36,22,205,0,54,27,191,14,D3
132,91,19,113,17,88,28,108,27,61,9,146,9,50,21,294,7,63,21,55,11,D3
133,98,27,88,2,93,27,248,12,16,28,74,12,24,6,81,24,68,11,141,7,D1
134,93,24,267,9,17,17,239,26,72,28,91,27,34,21,253,3,96,18,196,20,D1
135,3,24,203,1,67,6,186,4,10,6,15,17,34,4,9,21,58,20,154,12,D2
136,1,22,102,12,26,21,105,25,33,1,231,21,74,7,184,5,98,13,279,1,D5
137,11,24,10,5,79,24,263,12,24,10,60,4,24,27,24,19,94,0,27,15,D5
138,41,13,260,3,84,10,109,19,93,15,296,7,92,27,168,10,58,18,129,8,D3
139,11,0,172,22,46,22,133,28,94,12,230,10,55,4,95,21,51,13,107,14,D3
140,18,14,11,12,41,29,281,3,84,1,191,15,36,25,196,-5,86,14,169,19,D3
141,52,10,129,22,15,12,119,21,26,18,70,13,94,4,34,3,87,1,28,18,D4
142,76,19,162,29,84,17,228,23,77,25,252,1,67,15,66,14,20,21,245,15,D3
143,0,15,158,11,38,6,120,26,20,10,80,8,21,19,149,-5,86,6,96,17,D5
144,77,2,136,27,5,13,113,3,86,20,219,19,17,1,15,19,50,6,55,24,D3
145,45,0,135,26,85,15,167,2,60,26,221,8,83,19,191,12,33,21,3,17,D2
146,26,14,14,6,15,28,27,14,71,25,67,9,28,17,212,15,62,7,6,23,D3
147,14,5,38,2,55,18,42,26,82,18,107,0,82,16,163,3,17,25,76,6,D4
148,33,0,8,5,94,9,216,22,27,12,233,6,31,25,114,7,32,9,5,27,D2
149,16,29,255,5,97,8,31,2,26,25,209,29,100,11,211,29,92,19,280,8,D2
150,67,6,266,3,28,2,235,12,48,29,5,10,10,23,247,5,46,11,300,2,D1
151,100,4,79,24,51,11,24,15,1,11,277,22,16,16,7,17,7,6,106,12,D1
152,66,29,126,2,33,15,180,8,51,4,115,8,8,15,142,23,9,18,227,29,D3
153,11,10,265,2,46,0,124,23,66,19,35,8,56,2,252,19,78,2,52,26,D4
154,18,5,155,8,16,5,13,5,14,6,217,4,100,6,132,27,5,4,59,21,D4
155,31,26,108,10,5,7,44,3,35,5,58,8,17,24,280,16,16,7,108,22,D3
156,53,18,61,28,32,15,121,3,96,18,78,24,1,7,106,14,80,1,242,7,D5
157,66,25,62,15,86,9,118,22,56,1,51,7,65,25,4,14,38,7,81,2,D3
158,58,4,135,19,15,13,266,29,34,14,294,24,49,2,238,5,7,6,52,6,D4
159,92,8,234,5,71,11,209,14,5,27,89,18,26,9,200,0,74,9,38,0,D1
160,51,8,141,26,69,4,97,15,58,2,155,26,18,12,132,27,69,25,211,25,D2
161,79,5,77,6,52,18,166,21,77,24,13,3,19,0,125,6,32,20,151,18,D1
162,58,10,235,22,94,3,35,18,25,22,50,29,18,3,139,2,63,21,119,25,D2
163,88,18,266,26,90,10,221,23,11,2,276,11,47,14,108,21,77,5,188,1,D5
164,27,3,208,19,71,4,156,26,65,27,136,28,47,18,149,11,71,5,86,27,D2
165,39,29,276,19,0,22,86,14,51,23,20,24,24,19,145,29,30,9,201,23,D5
166,78,25,238,29,96,19,242,19,33,11,260,15,30,5,4,14,90,24,187,4,D5
167,8,22,268,11,93,19,175,7,17,16,225,28,11,11,258,28,80,16,130,8,D2
168,11,29,256,-5,53,10,298,12,27,26,47,10,58,18,298,6,84,5,209,20,D5
169,72,8,39,3,18,8,241,15,94,24,220,17,43,12,201,24,40,5,299,25,D1
170,2,15,205,24,86,21,225,23,3,6,50,13,79,6,262,24,96,1,200,28,D5
171,38,19,2,21,81,4,109,22,1,26,137,24,15,13,211,14,57,19,237,17,D2
172,21,15,284,9,52,24,56,28,70,23,135,16,61,25,181,18,34,7,57,4,D5
173,24,16,0,9,32,8,194,7,23,19,207,22,64,4,129,2,91,26,267,28,D4
174,38,19,37,11,64,10,181,14,31,11,279,25,67,5,200,9,83,25,254,1,D5
175,93,10,190,10,98,15,146,26,13,22,256,5,53,0,273,3,86,0,82,27,D1
176,46,0,167,0,8,3,141,-5,55,4,285,28,11,17,0,12,67,18,54,3,D1
177,57,27,39,18,12,9,272,-5,8,22,59,13,74,20,175,15,30,27,255,23,D2
178,92,28,122,19,46,10,122,21,34,10,181,20,94,0,207,8,12,29,210,1,D4
179,99,7,262,29,75,6,137,1,0,15,186,8,95,20,268,8,61,5,257,22,D2
180,7,23,233,15,74,9,177,19,39,1,175,2,5,5,233,15,58,11,71,25,D3
181,82,28,32,17,83,28,46,25,31,20,138,28,89,26,40,27,21,20,213,17,D1
182,32,25,19,15,25,15,29,12,36,25,79,-5,94,12,281,14,54,20,60,23,D4
183,2,19,175,25,3,5,200,12,26,1,237,16,74,29,105,28,13,15,96,19,D3
184,4,0,202,21,40,17,160,27,77,11,148,2,31,3,88,12,46,25,61,27,D3
185,56,3,214,29,60,2,25,6,32,10,249,20,32,14,280,29,49,17,228,1,D2
186,97,17,108,21,97,17,40,17,84,17,129,6,13,12,194,12,12,15,203,7,D3
187,85,7,47,27,17,14,202,24,98,27,161,12,14,19,12,2,36,25,174,19,D3
188,96,19,287,22,69,11,103,11,62,10,60,18,95,3,127,2,53,0,89,9,D4
189,97,17,143,19,10,12,207,23,32,0,223,21,31,12,94,-5,80,15,29,17,D1
190,85,26,167,20,91,8,244,12,47,10,48,18,38,4,87,2,99,26,262,1,D5
191,59,9,293,3,35,11,261,10,78,0,65,7,50,0,136,4,89,26,291,8,D3
192,61,19,176,4,30,0,55,16,3,22,163,6,94,3,282,7,67,6,145,13,D4
193,51,26,273,6,61,10,198,16,52,7,191,11,41,0,1,25,49,28,132,19,D3
194,47,28,132,2,64,11,177,11,12,6,234,14,45,3,250,12,64,2,104,17,D2
195,14,22,78,14,34,28,62,1,68,13,132,26,63,17,287,20,95,11,36,21,D5
196,3,17,134,17,80,29,23,24,39,24,143,10,11,16,99,21,6,13,147,12,D3
197,59,0,40,9,72,10,219,16,78,20,63,19,71,17,109,26,75,2,197,8,D5
198,24,1,55,25,16,15,6,24,39,2,139,28,3,29,172,16,89,7,0,3,D5
199,90,26,214,18,85,20,9,3,35,27,124,22,47,27,186,17,4,29,161,2,D2
200,23,29,187,18,78,3,150,-5,35,4,238,1,52,0,158,5,29,18,11,1,D2
201,85,21,9,25,100,20,59,18,58,23,168,-5,97,4,89,15,13,28,170,23,D4
202,89,13,111,27,56,13,176,3,78,19,85,13,70,11,204,28,37,23,165,22,D2
203,60,8,226,27,61,18,229,11,57,4,192,27,32,8,256,5,34,29,225,3,D4
204,82,8,47,8,77,7,268,22,33,12,139,21,2,1,92,22,40,1,154,11,D1
205,73,26,160,20,33,8,91,18,12,26,86,27,6,8,38,20,70,21,121,3,D5
206,98,3,45,21,65,10,183,-5,99,22,206,11,99,3,13,6,39,28,181,2,D4
207,97,21,142,19,17,2,189,-5,81,26,113,7,19,6,126,18,90,1,8,29,D2
208,19,2,261,20,87,3,158,19,43,29,4,27,0,7,151,13,36,13,274,11,D2
209,42,22,41,25,37,21,132,26,34,17,100,9,7,8,199,23,80,17,222,3,D5
210,74,14,120,18,73,23,4,27,70,3,252,28,65,7,110,25,86,16,259,23,D5
211,39,9,210,20,49,18,107,29,66,28,5,2,14,21,265,16,19,24,1,17,D3
212,93,21,291,7,37,22,155,19,27,27,175,21,54,7,288,4,58,4,286,1,D5
213,38,19,113,8,45,26,62,8,98,21,264,14,51,21,137,6,75,10,7,8,D3
214,30,16,177,-5,92,3,242,3,66,19,254,26,96,28,230,24,64,23,141,28,D2
215,61,14,296,20,35,23,167,24,50,23,157,6,90,24,114,4,72,10,268,7,D5
216,20,18,69,27,99,24,87,6,11,7,167,9,60,10,203,3,90,9,54,2,D5
217,63,17,257,16,72,26,12,-5,22,5,140,28,80,17,258,5,31,20,54,22,D4
218,36,23,52,28,63,26,7,-5,40,4,161,16,92,26,116,5,46,28,202,25,D4
219,17,11,161,22,99,1,98,17,38,0,43,12,4,25,26,3,76,20,257,16,D2
220,74,3,197,7,66,18,64,27,15,27,199,5,4,8,167,21,66,28,105,27,D1
221,80,13,5,10,41,10,295,18,9,7,161,7,47,12,195,0,12,19,80,29,D4
222,61,3,46,28,78,22,276,9,16,0,27,7,16,4,78,24,68,22,183,6,D2
223,58,3,110,29,2,23,20,28,25,14,254,1,19,17,79,14,75,5,234,22,D5
224,12,22,247,11,22,7,295,17,14,19,121,8,28,14,139,22,73,1,23,12,D5
225,23,14,229,-5,48,22,208,14,47,9,232,11,28,10,75,5,31,1,8,6,D1
226,85,3,66,22,54,29,299,25,78,25,164,13,39,19,117,9,10,19,254,26,D1
227,64,12,156,8,100,27,110,3,80,17,59,21,57,3,293,28,28,22,66,27,D2
228,100,20,266,13,38,21,142,14,82,26,84,7,95,5,248,15,71,8,204,10,D4
229,17,24,234,2,54,19,14,8,66,21,102,23,25,11,214,16,63,8,180,18,D5
230,72,11,295,23,89,4,27,8,33,25,233,26,4,18,58,19,31,14,80,10,D2
231,64,11,260,25,76,17,25,15,69,27,101,4,42,16,129,7,53,17,291,29,D3
232,65,29,129,17,5,27,210,27,70,0,51,17,41,4,31,19,97,19,129,16,D5
233,6,29,172,10,84,10,224,3,89,26,77,9,16,20,78,9,87,8,136,23,D2
234,76,19,218,8,25,18,3,20,93,25,272,12,74,25,151,12,66,25,100,6,D3
235,5,9,289,18,44,19,191,17,16,8,17,27,4,6,65,27,13,12,247,9,D5
236,93,15,279,27,58,20,120,9,50,13,217,29,55,13,276,11,46,29,72,24,D1
237,34,15,42,6,80,22,54,2,86,25,140,11,5,7,146,10,24,20,225,15,D2
238,38,18,68,9,100,5,198,8,74,20,296,22,75,6,260,6,10,17,82,3,D2
239,66,17,126,8,13,28,47,7,17,25,68,2,2,1,66,23,66,20,237,17,D1
240,76,27,100,4,12,20,244,16,21,8,43,16,16,8,206,1,5,29,91,24,D1
241,65,13,225,2,66,10,37,25,2,26,119,26,89,4,132,22,54,9,289,9,D1
242,28,13,181,5,5,13,15,5,42,3,156,9,87,11,63,29,26,3,106,19,D3
243,46,6,132,18,90,8,160,22,46,9,264,2,28,14,169,7,37,12,166,18,D3
244,47,10,204,12,56,12,285,18,87,10,105,16,85,20,152,7,11,10,68,10,D4
245,25,9,72,1,83,1,285,22,8,18,110,7,71,9,71,24,85,15,170,25,D2
246,2,20,210,14,46,10,68,24,69,23,109,0,6,19,95,16,84,6,213,26,D3
247,21,16,270,28,25,0,246,28,31,6,83,27,20,0,229,12,95,21,127,20,D5
248,75,11,116,25,26,20,259,10,41,27,94,4,72,12,271,11,5,23,35,13,D4
249,49,8,97,15,81,5,114,-5,52,22,184,9,99,27,273,1,18,1,42,6,D2
250,40,24,271,10,86,0,234,7,70,6,59,29,64,28,182,14,54,7,36,12,D2
251,50,13,26,1,20,11,279,-5,54,12,19,20,3,25,69,16,48,22,251,27,D2
252,56,14,84,12,3,20,77,16,47,6,260,5,11,25,173,29,27,19,55,18,D3
253,11,10,81,29,100,19,167,24,18,0,63,25,20,4,57,8,80,19,41,21,D2
254,30,8,23,8,45,29,144,5,42,20,254,29,15,9,250,6,77,9,129,7,D5
255,6,7,88,-5,73,24,101,6,29,16,263,27,82,11,228,14,44,6,84,5,D4
256,75,28,69,10,88,10,194,25,41,9,265,28,34,14,140,14,93,7,160,27,D5
257,29,6,73,6,36,15,220,17,55,12,199,28,52,10,123,8,53,4,246,3,D5
258,18,12,52,29,51,7,63,11,36,8,246,1,72,12,138,8,52,28,162,26,D4
259,25,23,164,-5,10,16,298,4,50,2,157,14,71,24,14,0,95,7,133,8,D5
260,44,15,248,6,100,10,140,23,17,29,25,23,15,26,36,15,85,26,12,13,D2
261,23,8,261,12,6,24,75,15,79,13,196,21,48,1,23,3,76,29,219,12,D4
262,63,5,284,22,57,1,40,29,49,14,225,7,59,25,172,8,22,4,179,7,D1
263,70,16,258,14,8,2,260,7,7,3,270,23,38,13,152,16,51,17,35,22,D1
264,75,19,3,15,69,22,79,10,54,22,240,18,6,13,195,28,35,10,28,25,D2
265,17,5,281,23,11,25,149,3,9,10,111,23,24,3,207,18,93,23,252,11,D5
266,62,21,266,15,8,29,37,12,95,23,67,20,0,0,133,28,91,25,219,18,D5
267,66,20,164,23,3,17,268,21,53,26,236,2,21,9,222,15,4,28,56,4,D3
268,38,0,235,3,17,19,300,9,80,14,200,9,57,25,245,8,21,24,41,7,D3
269,84,1,158,29,98,10,201,15,95,11,119,14,37,22,141,27,65,5,36,13,D2
270,52,4,224,2,91,27,259,0,40,24,176,8,85,23,248,18,50,5,197,10,D2
271,36,23,214,21,49,17,22,19,36,28,41,7,89,16,39,11,45,13,14,25,D4
272,4,1,132,23,48,29,244,-5,57,21,81,18,49,0,179,1,73,0,43,2,D5
273,35,5,108,7,60,22,61,21,11,24,76,12,47,23,224,14,64,2,2,26,D1
274,2,14,249,29,66,20,272,8,66,17,47,15,49,11,221,6,58,4,75,3,D5
275,59,14,154,16,47,18,30,15,83,16,214,24,1,4,157,9,46,17,45,17,D3
276,86,19,287,12,99,23,19,24,22,15,42,12,98,9,61,-5,57,21,16,24,D4
277,73,17,54,10,11,28,279,6,53,13,89,24,51,9,266,11,92,23,124,8,D5
278,19,22,72,24,100,18,172,19,8,15,219,12,62,27,243,26,60,14,178,2,D5
279,30,20,71,27,51,27,83,16,41,9,125,10,55,3,87,16,64,19,78,26,D4
280,94,9,73,21,92,24,9,12,85,10,177,6,83,10,184,23,27,2,156,20,D3
281,19,10,136,10,18,3,233,27,77,26,3,20,73,0,151,16,69,16,225,19,D4
282,81,1,139,10,36,1,2,5,2,19,149,10,51,17,5,25,99,24,256,13,D1
283,98,19,186,18,23,27,259,13,49,29,171,3,21,23,46,20,1,9,121,20,D1
284,6,23,162,11,38,3,228,2,6,19,66,19,60,15,78,9,87,20,272,29,D2
285,17,26,227,14,69,22,186,12,43,0,221,11,11,23,101,18,60,25,208,28,D3
286,30,9,56,17,60,23,153,21,15,2,213,-5,88,22,272,18,90,14,145,1,D5
287,30,4,277,11,94,20,226,17,87,27,263,8,7,11,265,18,47,28,299,20,D3
288,45,20,182,15,70,18,247,18,37,23,121,15,10,7,184,21,72,18,115,14,D2
289,14,13,257,24,39,0,83,26,75,6,112,20,23,21,234,29,55,22,114,28,D3
290,32,12,219,8,85,24,176,18,87,1,280,3,98,6,161,9,65,18,196,-5,D3
291,60,16,97,21,57,15,251,22,15,7,37,15,72,0,14,13,88,2,285,15,D5
292,65,19,109,19,88,19,202,27,22,23,205,4,26,27,253,19,23,19,21,0,D2
293,67,23,147,29,63,12,77,17,44,21,122,7,0,10,157,15,36,22,230,-5,D5
294,15,17,279,20,99,22,104,21,30,12,297,0,62,5,288,1,16,10,147,23,D4
295,8,9,153,13,45,13,225,8,73,1,26,29,69,15,107,23,44,8,35,7,D2
296,63,4,2,0,33,10,272,4,74,8,224,16,54,17,152,11,59,1,88,24,D1
297,5,20,187,3,13,5,197,28,38,6,118,17,36,2,209,25,99,0,230,17,D5
298,97,12,239,15,87,3,147,3,33,16,49,10,19,19,31,23,35,3,146,20,D2
299,92,5,137,24,61,13,36,23,38,9,158,13,50,10,235,4,10,24,36,16,D4
300,77,20,146,24,66,17,100,21,15,22,82,12,1,10,185,21,27,9,82,25,D1
301,11,27,40,6,30,12,230,5,83,9,18,5,96,24,264,4,98,28,265,21,D4
302,19,18,0,1,66,8,70,22,65,15,53,27,52,18,52,-5,20,11,179,23,D4
303,20,5,235,-5,87,3,262,-5,72,26,134,0,99,15,8,14,33,4,81,10,D2
304,41,14,288,12,37,16,25,10,21,7,31,17,26,1,198,21,6,10,59,27,D1
305,88,27,139,2,62,20,249,16,47,10,5,18,97,2,245,4,62,10,91,18,D4
